Difficulty,Title,Frequency,Acceptance Rate,Link
MEDIUM,Minimum Remove to Make Valid Parentheses,100.0,0.7058951275369186,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses
EASY,Valid Word Abbreviation,94.5,0.36789808424674747,https://leetcode.com/problems/valid-word-abbreviation
EASY,Diameter of Binary Tree,93.1,0.632992456280283,https://leetcode.com/problems/diameter-of-binary-tree
MEDIUM,Binary Tree Vertical Order Traversal,92.0,0.5698231509891339,https://leetcode.com/problems/binary-tree-vertical-order-traversal
MEDIUM,Kth Largest Element in an Array,89.7,0.6783367806719772,https://leetcode.com/problems/kth-largest-element-in-an-array
MEDIUM,Buildings With an Ocean View,87.9,0.807164024081743,https://leetcode.com/problems/buildings-with-an-ocean-view
EASY,Valid Palindrome II,87.2,0.42856745296294085,https://leetcode.com/problems/valid-palindrome-ii
MEDIUM,Subarray Sum Equals K,85.8,0.4528264772972974,https://leetcode.com/problems/subarray-sum-equals-k
MEDIUM,Lowest Common Ancestor of a Binary Tree III,85.1,0.8233864396948953,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii
MEDIUM,Copy List with Random Pointer,83.6,0.6016374986045121,https://leetcode.com/problems/copy-list-with-random-pointer
EASY,Two Sum,81.9,0.5554645112895215,https://leetcode.com/problems/two-sum
MEDIUM,Binary Tree Right Side View,81.9,0.6657251460272892,https://leetcode.com/problems/binary-tree-right-side-view
MEDIUM,Random Pick with Weight,81.0,0.4815753456159076,https://leetcode.com/problems/random-pick-with-weight
MEDIUM,Basic Calculator II,80.1,0.45627825669620165,https://leetcode.com/problems/basic-calculator-ii
MEDIUM,Lowest Common Ancestor of a Binary Tree,80.1,0.6636589751461347,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
MEDIUM,Merge Intervals,79.1,0.49193339333454633,https://leetcode.com/problems/merge-intervals
MEDIUM,Shortest Path in Binary Matrix,79.1,0.4951639152989607,https://leetcode.com/problems/shortest-path-in-binary-matrix
MEDIUM,Nested List Weight Sum,78.1,0.8545004859041733,https://leetcode.com/problems/nested-list-weight-sum
MEDIUM,Next Permutation,77.1,0.42792860802005284,https://leetcode.com/problems/next-permutation
MEDIUM,Top K Frequent Elements,76.0,0.6438791409905569,https://leetcode.com/problems/top-k-frequent-elements
MEDIUM,Find Peak Element,76.0,0.4646474637386657,https://leetcode.com/problems/find-peak-element
MEDIUM,Sum Root to Leaf Numbers,72.3,0.683375738136524,https://leetcode.com/problems/sum-root-to-leaf-numbers
MEDIUM,Simplify Path,72.3,0.4744183967040803,https://leetcode.com/problems/simplify-path
HARD,Merge k Sorted Lists,72.3,0.5644298154464569,https://leetcode.com/problems/merge-k-sorted-lists
EASY,Valid Palindrome,72.3,0.506647521641968,https://leetcode.com/problems/valid-palindrome
MEDIUM,Interval List Intersections,72.3,0.7260203540912984,https://leetcode.com/problems/interval-list-intersections
HARD,Valid Number,70.9,0.2141065794602857,https://leetcode.com/problems/valid-number
MEDIUM,Minimum Add to Make Parentheses Valid,70.9,0.747069150974889,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid
MEDIUM,LRU Cache,69.4,0.4493673194978793,https://leetcode.com/problems/lru-cache
EASY,Moving Average from Data Stream,67.8,0.7985213733134725,https://leetcode.com/problems/moving-average-from-data-stream
EASY,Merge Sorted Array,67.8,0.5267878111175235,https://leetcode.com/problems/merge-sorted-array
EASY,Range Sum of BST,67.8,0.87423635116889,https://leetcode.com/problems/range-sum-of-bst
EASY,Add Strings,66.1,0.5186169306104701,https://leetcode.com/problems/add-strings
MEDIUM,"Pow(x, n)",66.1,0.3685479836996733
MEDIUM,Find First and Last Position of Element in Sorted Array,66.1,0.4656721517228316,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
HARD,Making A Large Island,64.3,0.5455438907814463,https://leetcode.com/problems/making-a-large-island
MEDIUM,Dot Product of Two Sparse Vectors,64.3,0.8994958226012963,https://leetcode.com/problems/dot-product-of-two-sparse-vectors
EASY,Best Time to Buy and Sell Stock,64.3,0.5506566284533654,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
HARD,Russian Doll Envelopes,62.2,0.3728815059731684,https://leetcode.com/problems/russian-doll-envelopes
MEDIUM,Add Two Numbers,59.9,0.459413124272012,https://leetcode.com/problems/add-two-numbers
MEDIUM,All Nodes Distance K in Binary Tree,59.9,0.6620410231026554,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree
MEDIUM,Maximum Swap,59.9,0.5180071244340834,https://leetcode.com/problems/maximum-swap
MEDIUM,Insert into a Sorted Circular Linked List,59.9,0.37999301723319723,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list
MEDIUM,K Closest Points to Origin,59.9,0.6780078156494281,https://leetcode.com/problems/k-closest-points-to-origin
MEDIUM,Remove Nth Node From End of List,59.9,0.4863587014121349,https://leetcode.com/problems/remove-nth-node-from-end-of-list
EASY,Closest Binary Search Tree Value,57.4,0.49888291190825496,https://leetcode.com/problems/closest-binary-search-tree-value
EASY,Contains Duplicate II,57.4,0.48762396253471024,https://leetcode.com/problems/contains-duplicate-ii
MEDIUM,Max Consecutive Ones III,54.6,0.656931671353652,https://leetcode.com/problems/max-consecutive-ones-iii
HARD,Sliding Window Median,54.6,0.38636851604235445,https://leetcode.com/problems/sliding-window-median
MEDIUM,Custom Sort String,54.6,0.7193864082450537,https://leetcode.com/problems/custom-sort-string
HARD,Median of Two Sorted Arrays,51.3,0.43488034833267925,https://leetcode.com/problems/median-of-two-sorted-arrays
MEDIUM,Palindromic Substrings,51.3,0.7152155364109279,https://leetcode.com/problems/palindromic-substrings
MEDIUM,Binary Search Tree Iterator,51.3,0.7461906831574339,https://leetcode.com/problems/binary-search-tree-iterator
MEDIUM,Delete Nodes And Return Forest,51.3,0.7241612492947751,https://leetcode.com/problems/delete-nodes-and-return-forest
